scenario,model_tag,seed,method,method_label,cost_best_mean,cost_mean_mean,cost_worst_mean,accept_rate,reject_rate,on_time_rate,avg_lateness,total_revenue,total_energy,metrics_path
ablate_no_pickup_capacity,main,0,heuristic,Heuristic,311.9408264160156,381.02020263671875,505.8929443359375,0.0,1.0,0.06599999964237213,25.959274291992188,15.619132041931152,5.333025932312012,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed0.json
ablate_no_pickup_capacity,main,0,local_search_truck,Truck Local Search,194.00486755371094,304.2281494140625,442.2510681152344,0.02133333496749401,0.9786666631698608,0.18590332567691803,14.642045974731445,16.081161499023438,1.9272384643554688,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed0.json
ablate_no_pickup_capacity,main,0,profit_accept,Profit Accept,306.9585876464844,343.279296875,380.2783203125,0.0,1.0,0.07200000435113907,25.474258422851562,15.619132041931152,5.310152530670166,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed0.json
ablate_no_pickup_capacity,main,1,model,HGAT-POMO,119.5348892211914,155.1258544921875,202.39125061035156,0.006666666828095913,0.9933333396911621,0.2973136007785797,9.108943939208984,16.110092163085938,3.10501766204834,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed1.json
ablate_no_pickup_capacity,main,1,random,Random,286.0228271484375,409.91571044921875,572.1068115234375,0.006000000052154064,0.9940000176429749,0.1398431360721588,23.203880310058594,16.057710647583008,5.059861183166504,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed1.json
ablate_no_pickup_capacity,main,1,truck_only,Truck Only,165.59689331054688,251.87429809570312,361.2671813964844,0.0260000042617321,0.9740000367164612,0.228537917137146,12.875629425048828,16.420068740844727,1.6378178596496582,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed1.json
ablate_no_pickup_capacity,main,1,heuristic,Heuristic,292.3465576171875,361.3321228027344,479.7677001953125,0.0006666667177341878,0.9993333220481873,0.07458333671092987,24.508934020996094,15.975759506225586,5.289592266082764,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed1.json
ablate_no_pickup_capacity,main,1,local_search_truck,Truck Local Search,192.6778564453125,299.1763916015625,437.56268310546875,0.020666668191552162,0.9793333411216736,0.18448516726493835,14.65312385559082,16.336870193481445,1.9131882190704346,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed1.json
ablate_no_pickup_capacity,main,1,profit_accept,Profit Accept,289.17303466796875,324.8910827636719,361.7418212890625,0.0,1.0,0.07066666334867477,24.245849609375,15.951781272888184,5.249444484710693,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed1.json
ablate_no_pickup_capacity,main,2,model,HGAT-POMO,118.82864379882812,156.6996612548828,206.5350341796875,0.0013333334354683757,0.9986667037010193,0.28441670536994934,8.982409477233887,14.937740325927734,3.118281602859497,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed2.json
ablate_no_pickup_capacity,main,2,random,Random,280.4117431640625,415.7687072753906,591.5564575195312,0.006000000052154064,0.9939999580383301,0.14130637049674988,22.504013061523438,15.004494667053223,4.905670642852783,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed2.json
ablate_no_pickup_capacity,main,2,truck_only,Truck Only,160.7175750732422,251.97679138183594,362.2271423339844,0.019999999552965164,0.9800000190734863,0.22917242348194122,12.344849586486816,15.36384391784668,1.613392949104309,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed2.json
ablate_no_pickup_capacity,main,2,heuristic,Heuristic,292.87091064453125,354.3388671875,472.3265380859375,0.0013333334354683757,0.9986667037010193,0.07776470482349396,24.165063858032227,14.966594696044922,5.216177463531494,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed2.json
ablate_no_pickup_capacity,main,2,local_search_truck,Truck Local Search,196.46713256835938,299.8256530761719,421.4652099609375,0.03133333846926689,0.968666672706604,0.18682441115379333,14.60356330871582,15.512171745300293,1.9590046405792236,D:\HGAT-POMO\experiments\thesis_protocol_20260420_formal\metrics\ablate_no_pickup_capacity_seed2.json
