scenario,model_tag,method,method_label,seeds,accept_rate_mean,accept_rate_std,reject_rate_mean,reject_rate_std,on_time_rate_mean,on_time_rate_std,avg_lateness_mean,avg_lateness_std,total_revenue_mean,total_revenue_std,total_energy_mean,total_energy_std
ablate_no_time_traffic,main,heuristic,Heuristic,3,0.003333333491658171,0.0009428090863630899,0.996666669845581,0.0009428250011886995,0.08671977122624715,0.004676299979943642,23.806585947672527,0.8708294148136192,15.573485692342123,0.4148331946680938,6.37937068939209,0.073646992064921
ablate_no_time_traffic,main,local_search_truck,Truck Local Search,3,0.07844444364309311,0.00886663890321513,0.9215556383132935,0.008866632554330438,0.2250417321920395,0.002728773062939008,12.965387344360352,0.12843273144881825,16.99156379699707,0.3801238425435235,2.5420732498168945,0.04844294859138
ablate_no_time_traffic,main,model,HGAT-POMO,3,0.02399999958773454,0.0016329926691022508,0.9760000507036845,0.0016329964712711142,0.32153764367103577,0.009345176463553739,8.476868947347006,0.20105794450946832,15.943159739176432,0.4613607451723373,3.6209566593170166,0.03403191502046143
ablate_no_time_traffic,main,profit_accept,Profit Accept,3,0.0024444446122894683,0.0015713484955647194,0.9975555737813314,0.0015713750019811657,0.08597385386625926,0.0014006428314264606,23.485136032104492,0.6122330961459675,15.571357727050781,0.4511483814222549,6.380246003468831,0.0864101433407906
ablate_no_time_traffic,main,random,Random,3,0.007777778276552756,0.0024545248760720426,0.9922222097714742,0.00245451765283338,0.15454439322153726,0.0031086264321015834,22.083049138387043,0.05259840866241424,15.638615290323893,0.4007489471870368,5.993835926055908,0.032061260543549464
ablate_no_time_traffic,main,truck_only,Truck Only,3,0.065111110607783,0.0033259182222927825,0.9348888993263245,0.003325915567608798,0.2714242736498515,0.009216420784489454,11.421556154886881,0.21535419733828784,16.737403869628906,0.4077343206758608,2.267150084177653,0.042534790651228636
full_backup,backup,heuristic,Heuristic,3,0.0015555556553105514,0.0011331155266528516,0.9984444578488668,0.0011331073532025201,0.07186601310968399,0.0037168615250419913,25.004964192708332,0.8434967702205532,15.54471492767334,0.4339672363827869,6.420657475789388,0.06252604382179142
full_backup,backup,local_search_truck,Truck Local Search,3,0.07711111009120941,0.010246351259146589,0.9228889147440592,0.010246341671678101,0.1991885999838511,0.006148914442005351,13.619523048400879,0.08573733868415434,17.00929005940755,0.2989903586421735,2.5284996827443442,0.031805183761049634
full_backup,backup,model,HGAT-POMO,3,0.029555556053916614,0.0059958842982155815,0.9704445004463196,0.005995864094234546,0.2960408627986908,0.009232312692716252,8.89415709177653,0.10705132320374902,16.04228115081787,0.5310843447465031,3.5455667972564697,0.045829799361748816
full_backup,backup,profit_accept,Profit Accept,3,0.0008888889569789171,0.0003142697046008148,0.9991111159324646,0.0003142469024972259,0.07261111090580623,0.0032944518753106173,24.72433853149414,0.7145166350365141,15.523428599039713,0.43297500903911484,6.407563050587972,0.06607943600994248
full_backup,backup,random,Random,3,0.012000000414748987,0.0035694176023593938,0.9879999955495199,0.0035693776530609923,0.13707361121972403,0.00029500834473859686,22.929543177286785,0.716338377945465,15.721126556396484,0.38716007441399475,6.021422863006592,0.11606659170875674
full_backup,backup,truck_only,Truck Only,3,0.054666669418414436,0.00845029028976591,0.9453333616256714,0.008450287644684133,0.24497615297635397,0.004138860762679315,12.067843755086264,0.18795860446474186,16.46616045633952,0.20033770603517043,2.2386844158172607,0.037183063485056074
full_main,main,heuristic,Heuristic,3,0.0015555556553105514,0.0011331155266528516,0.9984444578488668,0.0011331073532025201,0.07186601310968399,0.0037168615250419913,25.004964192708332,0.8434967702205532,15.54471492767334,0.4339672363827869,6.420657475789388,0.06252604382179142
full_main,main,local_search_truck,Truck Local Search,3,0.07711111009120941,0.010246351259146589,0.9228889147440592,0.010246341671678101,0.1991885999838511,0.006148914442005351,13.619523048400879,0.08573733868415434,17.00929005940755,0.2989903586421735,2.5284996827443442,0.031805183761049634
full_main,main,model,HGAT-POMO,3,0.02111111208796501,0.002266231022864629,0.9788889288902283,0.0022662419817175553,0.3033172885576884,0.002720386191217936,8.972997029622396,0.12393645404384646,15.875259399414062,0.4005760350728802,3.6543525060017905,0.055684687198479785
full_main,main,profit_accept,Profit Accept,3,0.0008888889569789171,0.0003142697046008148,0.9991111159324646,0.0003142469024972259,0.07261111090580623,0.0032944518753106173,24.72433853149414,0.7145166350365141,15.523428599039713,0.43297500903911484,6.407563050587972,0.06607943600994248
full_main,main,random,Random,3,0.014222223001221815,0.001911628114372837,0.9857777754465739,0.0019116116943293578,0.14019261300563812,0.006286423224536089,23.207626342773438,0.28651808517044913,15.793689727783203,0.4759839628865245,6.089242935180664,0.08668943277657121
full_main,main,truck_only,Truck Only,3,0.054666669418414436,0.00845029028976591,0.9453333616256714,0.008450287644684133,0.24497615297635397,0.004138860762679315,12.067843755086264,0.18795860446474186,16.46616045633952,0.20033770603517043,2.2386844158172607,0.037183063485056074
