experiment_name,method_name,response_window,delivery_window_extension,resource_count,order_density_ratio,acceptance_rate,acceptance_rate_gap_to_0_80,on_time_rate,on_time_rate_gap_to_0_50,late_orders,average_lateness,max_lateness,total_energy_consumption,total_flight_distance,hard_constraint_violations,reached_80_acceptance,reached_50_on_time,reached_both_targets,recommendation
response_window_3.0,oracle_best_acceptance,3.0,0.0,1,1.0,0.8666666666666667,-0.06666666666666665,0.29102564102564105,0.20897435897435895,553,76.08785878874217,211.6147602977291,258.30820337934915,4165.153496512903,0,True,False,False,acceptance_target_only
response_window_3.0,oracle_best_on_time,3.0,0.0,1,1.0,0.8633333333333333,-0.06333333333333324,0.24581724581724582,0.25418275418275416,586,36.30235398445134,101.2229410498547,197.73280400974218,2846.220946058631,6,True,False,False,invalid_hard_constraint_violation
response_window_3.0,tail_risk_constrained_joint_beam,3.0,0.0,1,1.0,0.5677777777777778,0.23222222222222222,0.3424657534246575,0.15753424657534248,336,13.332445113426214,35.82128278325279,118.76933300223959,1716.846345807876,0,False,False,False,anchor_locked_safety_reference
response_window_4.0,raw_baseline,4.0,0.0,1,1.0,0.59,0.21000000000000008,0.3314500941619586,0.16854990583804141,355,13.05536655212396,43.811181446558884,124.0533065150438,1793.666822074882,0,False,False,False,below_target
response_window_4.0,v2_repair_only,4.0,0.0,1,1.0,0.5811111111111111,0.2188888888888889,0.372848948374761,0.127151051625239,328,13.952718567823952,47.05920568425928,125.0861096610892,1808.2401498556137,0,False,False,False,below_target
response_window_4.0,oracle_best_acceptance,4.0,0.0,1,1.0,0.9211111111111111,-0.12111111111111106,0.2798552472858866,0.22014475271411338,597,85.40627798352988,232.16747369474217,289.0326983177268,4630.104243108763,0,True,False,False,acceptance_target_only
response_window_4.0,oracle_best_on_time,4.0,0.0,1,1.0,0.9177777777777778,-0.11777777777777776,0.22518159806295399,0.274818401937046,640,39.63992334580305,136.77838646680428,217.09993000550043,3070.693097703159,6,True,False,False,invalid_hard_constraint_violation
response_window_4.0,tail_risk_constrained_joint_beam,4.0,0.0,1,1.0,0.59,0.21000000000000008,0.3314500941619586,0.16854990583804141,355,13.05536655212396,43.811181446558884,124.0533065150438,1793.666822074882,0,False,False,False,anchor_locked_safety_reference
response_window_5.0,raw_baseline,5.0,0.0,1,1.0,0.6022222222222222,0.19777777777777783,0.33948339483394835,0.16051660516605165,358,13.041834648165315,41.07310244554492,122.990215170696,1777.2592678773065,0,False,False,False,below_target
response_window_5.0,v2_repair_only,5.0,0.0,1,1.0,0.5888888888888889,0.21111111111111114,0.34150943396226413,0.15849056603773587,349,13.933319775772947,43.71297567492405,126.10401361858949,1807.767287582159,0,False,False,False,below_target
